Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
7,64,No,4,5,50
2,66,Yes,5,6,42
9,43,No,8,9,45
4,87,No,8,5,74
6,89,Yes,5,2,80
1,61,No,8,6,38
9,46,Yes,7,8,42
8,85,Yes,6,1,77
4,92,No,8,5,76
4,87,No,8,4,71
8,91,Yes,6,7,86
3,94,Yes,5,1,74
3,45,No,6,7,23
9,54,No,5,8,49
9,86,Yes,6,4,83
9,44,No,4,0,41
2,68,Yes,8,9,45
5,75,No,7,0,63
8,87,No,8,2,82
2,42,No,7,8,21
9,81,Yes,6,2,77
9,95,No,6,0,90
1,68,Yes,4,4,42
1,74,No,7,1,50
2,66,No,8,6,41
3,81,Yes,9,1,60
6,83,No,4,3,71
9,67,Yes,7,1,63
7,51,No,8,2,45
1,89,No,5,6,67
5,66,Yes,5,4,51
1,81,No,9,7,54
5,48,No,5,5,32
6,54,Yes,6,9,43
2,44,No,7,9,18
2,86,Yes,6,2,62
6,56,No,6,7,42
6,51,Yes,4,7,39
4,68,Yes,5,5,51
7,91,No,4,3,83
3,58,No,4,1,35
3,56,Yes,4,8,37
9,60,No,8,8,58
5,70,Yes,9,7,57
5,77,No,7,0,62
7,65,Yes,6,9,57
4,66,No,8,0,47
3,57,Yes,5,7,38
9,65,No,5,1,62
4,74,No,7,3,53
6,52,Yes,9,9,41
7,53,No,9,4,44
6,53,Yes,6,6,37
6,45,Yes,5,3,36
6,75,No,4,6,63
4,97,No,5,9,82
6,98,No,4,4,84
3,72,No,7,9,54
2,98,No,8,7,80
8,57,Yes,6,7,54
8,66,No,7,2,59
4,66,Yes,8,6,51
5,59,Yes,6,8,45
5,79,Yes,9,2,65
6,77,Yes,8,9,64
1,83,No,6,0,59
9,47,No,4,0,41
6,66,Yes,8,1,55
1,42,No,9,2,12
3,88,Yes,9,9,70
5,80,No,8,9,69
2,71,Yes,5,4,47
4,72,Yes,8,9,56
9,77,No,4,0,69
7,90,Yes,8,2,81
1,49,Yes,9,9,24
3,84,Yes,5,2,63
8,73,No,5,4,68
8,81,No,4,3,70
5,66,Yes,5,5,49
4,56,Yes,5,1,42
5,55,Yes,6,8,40
6,84,Yes,4,5,72
3,48,Yes,6,6,28
9,58,Yes,7,2,54
3,71,No,5,3,48
7,50,Yes,6,4,42
6,61,No,6,0,48
8,49,No,9,1,41
2,60,No,6,6,38
9,94,Yes,8,5,93
7,40,No,6,2,33
5,84,No,5,3,66
9,55,Yes,5,7,50
7,71,Yes,5,8,62
4,87,Yes,6,3,73
6,73,Yes,6,2,61
1,53,Yes,4,2,29
5,48,Yes,8,6,33
9,89,Yes,9,4,88
6,66,No,6,9,56
6,62,Yes,5,8,47
3,93,Yes,7,1,73
6,44,No,8,3,32
1,81,No,6,4,54
5,92,No,4,8,78
2,48,Yes,9,1,23
4,89,No,6,3,71
1,71,Yes,4,1,41
6,91,No,6,2,77
4,99,No,9,5,86
3,97,Yes,9,1,80
9,96,Yes,5,8,96
5,42,Yes,6,9,25
6,80,Yes,8,4,70
8,91,Yes,7,6,90
3,83,No,6,2,66
1,52,Yes,7,0,27
4,88,No,4,0,69
8,55,No,8,3,49
6,47,No,9,8,37
6,51,No,9,1,40
6,55,No,4,6,41
1,99,Yes,7,3,77
2,52,Yes,8,9,31
8,94,No,8,6,88
1,67,No,9,3,41
7,86,Yes,5,5,76
6,88,Yes,5,8,75
5,95,Yes,9,0,81
6,53,No,9,9,46
8,44,No,4,3,37
7,91,Yes,4,9,82
4,87,Yes,9,7,73
5,69,Yes,6,0,52
7,45,No,8,3,36
7,53,No,9,1,41
9,54,Yes,4,4,48
8,66,Yes,7,7,64
6,43,Yes,4,3,30
1,98,No,9,0,72
3,66,No,9,9,46
9,81,Yes,7,9,82
6,51,No,4,4,36
4,63,Yes,9,9,46
9,42,Yes,8,9,44
1,46,Yes,9,4,23
6,79,No,9,6,71
7,69,No,9,2,63
7,40,No,6,0,31
9,58,No,7,5,52
9,51,No,8,3,47
1,83,No,5,3,59
8,99,No,4,8,97
1,91,No,8,1,63
2,75,Yes,7,3,53
2,74,No,5,1,51
4,90,Yes,6,8,74
6,53,Yes,6,9,40
8,94,Yes,6,5,90
6,70,Yes,7,2,59
9,83,No,7,3,76
3,59,No,4,2,34
1,77,No,8,7,51
5,61,No,7,0,47
9,46,Yes,7,3,40
6,81,Yes,4,1,67
5,77,Yes,5,8,64
8,58,No,7,5,54
5,84,Yes,5,0,69
5,90,Yes,5,9,75
7,97,No,4,1,86
7,86,No,9,1,78
7,53,No,8,8,47
2,40,No,8,1,16
7,95,Yes,8,4,84
1,41,No,7,3,12
7,90,Yes,6,4,81
1,82,Yes,5,5,54
5,96,No,4,1,79
3,76,No,9,8,57
2,55,Yes,8,8,38
3,41,No,8,7,19
7,43,No,5,3,32
8,56,No,8,8,52
6,41,Yes,5,8,30
3,55,No,5,7,36
3,80,No,8,8,59
4,43,No,8,2,25
1,71,Yes,6,5,50
9,60,Yes,7,7,60
7,90,No,4,8,77
7,47,No,8,1,40
2,67,Yes,6,9,47
4,65,Yes,9,2,48
2,98,No,9,7,78
5,41,No,8,4,26
8,76,Yes,5,1,68
1,53,Yes,6,0,25
2,48,No,4,0,18
3,78,Yes,6,1,58
9,58,Yes,4,2,54
1,93,Yes,5,9,69
6,71,Yes,6,9,61
5,44,No,6,0,30
1,66,Yes,9,3,41
6,91,Yes,4,1,78
9,43,Yes,9,9,45
1,60,No,5,1,32
3,79,Yes,9,2,60
1,48,Yes,7,0,24
8,41,Yes,5,0,34
4,87,No,4,0,62
8,69,No,7,1,63
3,58,Yes,5,0,34
4,87,No,5,0,69
7,85,No,9,5,77
3,66,No,6,8,44
1,57,Yes,5,0,29
6,72,Yes,7,5,60
4,49,No,8,7,30
3,93,Yes,9,5,75
6,55,No,6,9,45
3,64,Yes,4,7,46
3,93,Yes,9,1,73
4,62,No,9,5,44
1,59,Yes,5,4,34
1,48,No,9,2,23
5,51,No,7,1,32
5,90,Yes,8,7,75
6,82,Yes,7,2,74
2,70,Yes,9,3,48
2,45,Yes,6,3,21
2,69,No,8,0,46
8,60,No,5,2,49
8,58,No,5,3,50
2,70,Yes,7,7,54
8,40,No,6,3,31
3,57,No,6,3,37
2,60,No,9,0,35
3,94,No,5,6,75
9,44,Yes,8,6,39
7,74,Yes,6,9,66
3,82,Yes,7,8,64
1,78,No,8,0,54
7,54,No,6,7,44
6,65,Yes,6,1,54
7,80,No,6,9,68
9,50,No,8,1,47
9,55,No,7,7,51
6,92,No,5,2,80
4,67,Yes,6,3,49
9,42,No,7,3,40
5,78,Yes,7,9,67
7,54,Yes,4,9,46
3,96,Yes,9,4,80
4,77,Yes,9,7,62
3,86,Yes,6,9,68
9,49,No,5,3,41
6,64,Yes,4,3,50
9,41,Yes,7,7,32
3,98,Yes,7,8,81
1,53,Yes,7,9,31
1,51,Yes,5,2,22
8,83,Yes,4,1,74
6,79,Yes,9,9,77
2,40,Yes,5,3,17
5,40,No,6,4,26
8,97,Yes,9,0,90
1,93,No,8,5,68
4,81,Yes,8,4,66
7,81,No,6,9,72
6,74,Yes,9,1,63
4,46,Yes,5,4,30
9,46,No,7,5,43
1,99,Yes,4,6,73
8,77,No,9,0,71
5,67,No,8,4,53
3,73,Yes,7,8,53
8,60,Yes,6,2,52
4,46,No,8,4,28
3,83,No,7,0,61
4,96,Yes,8,9,82
8,85,Yes,8,7,83
8,97,Yes,5,7,91
8,82,No,8,7,77
6,54,No,8,6,44
4,64,No,6,1,44
2,84,No,7,9,63
9,61,No,8,2,57
7,58,No,4,2,48
9,73,No,4,4,66
2,86,No,9,7,64
5,57,No,7,7,44
2,77,Yes,8,6,55
9,67,No,4,4,57
2,48,Yes,8,0,27
2,44,Yes,5,9,22
1,94,Yes,4,7,70
3,48,Yes,9,7,25
8,63,No,5,6,56
3,89,Yes,8,8,65
1,91,No,7,6,66
4,44,No,6,1,26
3,95,Yes,5,1,74
2,53,Yes,5,9,26
8,65,Yes,8,4,60
6,54,Yes,6,0,43
3,61,No,4,5,41
2,64,Yes,7,0,42
4,89,No,4,3,71
5,63,No,6,0,49
4,45,No,7,7,28
2,75,Yes,8,2,54
6,69,No,8,0,60
2,52,No,8,4,31
8,80,No,5,1,74
6,41,No,9,3,29
7,46,No,5,2,36
1,79,No,4,1,52
6,67,No,4,8,53
1,58,No,8,0,29
7,85,Yes,9,7,80
1,53,Yes,8,5,29
4,55,No,7,0,41
9,73,Yes,4,5,68
8,87,Yes,5,6,78
9,42,Yes,9,3,37
7,81,No,6,8,73
3,84,No,9,0,64
3,87,No,8,1,71
6,60,No,8,7,50
4,81,No,4,1,59
8,87,No,6,7,80
3,76,Yes,7,4,56
2,82,No,6,8,55
9,52,Yes,8,7,49
8,92,No,5,7,88
4,97,Yes,4,3,79
9,60,Yes,7,0,56
9,55,Yes,7,3,52
8,56,Yes,6,1,46
4,89,No,7,4,75
4,79,Yes,8,1,60
4,86,Yes,7,6,67
6,66,Yes,8,8,56
3,79,No,8,4,61
6,49,No,5,5,37
2,63,Yes,7,1,39
5,95,Yes,4,4,81
5,62,No,4,5,47
1,44,No,4,8,18
7,99,No,7,3,93
9,77,No,4,4,73
1,51,No,4,8,29
2,57,Yes,4,6,32
5,48,No,6,4,33
6,68,No,5,5,57
8,53,Yes,8,5,49
6,99,Yes,8,6,92
7,99,No,8,1,89
7,55,Yes,7,1,44
5,78,No,8,1,65
5,48,No,8,5,37
7,65,Yes,4,4,58
7,93,Yes,6,3,86
1,62,Yes,8,9,37
2,48,No,7,1,22
1,66,Yes,5,6,41
6,58,No,6,5,48
6,42,No,4,6,27
4,98,No,6,0,78
6,90,Yes,9,1,80
7,89,Yes,5,7,80
9,72,No,9,7,70
6,42,No,7,8,31
5,41,Yes,8,6,26
8,70,Yes,9,1,64
2,96,Yes,6,7,72
5,77,No,7,6,63
1,87,No,8,9,62
9,65,Yes,7,2,63
5,82,Yes,4,7,67
5,89,No,5,6,74
3,55,Yes,5,2,32
5,51,Yes,8,8,39
4,62,No,8,8,47
5,70,Yes,8,2,55
8,83,Yes,8,1,76
4,67,Yes,6,1,49
4,74,No,7,4,57
1,40,No,9,6,13
4,88,No,7,0,70
9,64,No,6,7,56
8,53,No,5,2,45
3,73,Yes,9,6,55
2,46,No,5,0,22
3,54,Yes,4,4,32
2,72,Yes,9,8,52
4,75,No,7,8,60
5,52,No,8,1,37
5,40,Yes,8,9,25
1,42,Yes,9,7,17
9,82,Yes,4,4,79
4,96,Yes,9,2,81
5,98,No,8,5,86
3,52,No,5,7,32
2,45,No,4,7,21
1,87,No,7,2,58
9,96,Yes,8,9,99
9,96,No,5,1,94
8,40,Yes,6,7,34
1,95,No,6,1,70
4,94,Yes,8,3,82
8,53,No,7,1,43
1,97,Yes,4,5,71
3,67,Yes,5,1,45
5,87,Yes,6,1,72
9,85,No,6,1,82
8,65,Yes,4,7,59
2,95,Yes,9,6,74
1,57,No,8,8,32
9,66,No,9,6,65
8,41,No,9,3,36
4,61,No,7,7,47
1,98,Yes,5,8,73
9,58,Yes,9,4,57
9,41,No,9,8,37
6,97,No,7,0,87
6,73,Yes,4,8,60
9,40,No,8,2,39
1,48,No,4,9,21
7,58,No,6,1,49
4,42,No,8,9,22
5,42,No,6,2,24
8,67,No,5,4,62
2,49,No,6,4,26
5,98,Yes,8,4,84
5,75,Yes,9,6,62
6,49,Yes,8,4,37
7,40,No,6,3,31
2,99,No,6,2,73
5,87,No,4,6,72
7,70,No,8,9,62
8,52,No,5,0,47
1,86,No,5,4,59
8,67,No,6,3,58
2,55,Yes,8,7,32
2,68,Yes,4,7,47
9,80,No,9,7,82
3,94,No,8,4,75
9,43,No,7,9,43
8,85,No,9,7,79
9,50,No,9,3,51
3,77,No,8,6,56
9,92,Yes,4,2,87
1,99,Yes,4,3,71
6,95,Yes,5,9,85
8,76,Yes,7,8,74
2,85,No,7,7,65
4,56,Yes,5,8,38
8,81,No,6,2,72
6,96,No,8,9,84
8,52,No,8,8,50
5,60,No,9,0,49
5,60,Yes,5,8,45
8,67,Yes,9,5,62
6,51,Yes,9,3,44
3,40,No,4,1,20
4,83,No,4,1,62
6,91,No,4,2,79
9,41,No,9,5,36
4,93,No,8,5,74
5,92,Yes,6,5,78
9,77,Yes,4,2,74
6,86,No,7,0,76
5,84,No,4,7,69
9,66,No,4,2,59
4,68,Yes,5,6,50
7,60,Yes,9,3,48
7,80,No,8,0,71
5,91,Yes,6,9,79
7,81,No,6,1,69
4,91,Yes,4,3,74
7,75,No,6,6,66
9,81,Yes,7,6,78
3,88,No,8,8,68
8,82,Yes,4,8,75
4,47,Yes,4,6,25
8,46,No,5,7,40
4,54,Yes,8,4,34
4,83,No,5,5,66
4,60,Yes,9,9,43
7,61,No,7,9,55
1,52,No,5,2,26
8,40,Yes,8,2,36
7,93,Yes,6,1,84
3,81,No,6,6,60
3,87,No,9,1,67
8,60,Yes,6,2,54
6,53,No,9,8,45
5,87,No,6,2,72
1,44,Yes,7,3,17
5,40,Yes,5,8,24
1,63,No,9,1,36
7,82,No,7,1,74
8,67,Yes,5,8,61
5,90,Yes,4,8,77
5,66,Yes,5,4,52
3,62,Yes,4,8,43
3,41,No,8,5,18
9,56,No,5,2,52
5,69,No,9,7,55
9,64,Yes,6,3,61
8,48,No,6,0,38
4,68,Yes,4,3,50
8,52,No,5,6,45
5,48,Yes,5,3,31
5,44,No,6,0,26
7,42,Yes,5,4,31
7,53,Yes,5,7,44
4,95,Yes,8,3,82
2,80,No,4,9,59
6,91,No,4,5,74
9,91,Yes,5,9,93
3,61,No,9,7,41
2,43,Yes,8,1,22
1,46,No,4,7,20
5,62,No,5,9,50
6,97,Yes,9,2,90
8,88,No,7,4,82
7,49,No,7,8,37
7,56,Yes,9,3,47
7,80,Yes,9,9,74
8,91,No,8,4,88
9,58,No,8,2,55
1,74,Yes,7,4,50
3,72,No,7,1,50
7,47,Yes,5,8,39
2,81,Yes,9,2,57
2,43,Yes,8,6,23
9,83,Yes,6,3,82
3,91,No,5,7,76
3,93,No,5,1,72
6,71,No,9,8,60
9,48,Yes,6,2,48
6,44,Yes,9,9,34
6,67,No,8,3,57
8,56,Yes,9,9,51
7,72,No,8,3,66
5,64,No,6,5,49
3,47,No,8,7,27
5,62,No,7,8,45
7,78,No,9,3,72
9,68,No,5,2,66
5,88,No,4,4,76
1,57,No,9,2,29
3,96,No,9,6,78
9,51,Yes,5,6,48
2,76,No,4,5,55
9,79,Yes,8,9,79
1,57,Yes,6,1,29
2,67,Yes,7,3,44
8,88,Yes,6,1,82
4,87,Yes,5,1,71
7,62,No,9,1,53
4,57,No,6,1,40
5,53,No,7,0,37
4,84,Yes,6,3,67
2,72,No,9,1,52
1,52,No,8,3,24
9,54,Yes,7,3,52
1,53,No,5,9,26
6,64,Yes,4,9,48
9,56,No,4,3,51
5,91,No,9,4,76
7,87,No,7,6,83
8,93,No,5,8,88
9,95,No,4,2,91
7,68,No,9,6,62
3,47,No,9,2,27
2,42,No,6,1,19
7,67,Yes,7,6,59
2,92,Yes,6,6,70
5,44,No,8,0,27
1,94,Yes,9,3,68
2,82,Yes,7,2,61
1,46,Yes,4,3,22
3,78,No,8,2,57
5,73,No,7,8,61
3,91,Yes,6,6,74
1,73,Yes,7,3,49
1,66,Yes,8,0,41
5,60,Yes,5,9,48
9,72,No,8,2,68
8,87,No,5,3,83
1,97,Yes,4,5,73
7,91,No,9,3,82
9,97,Yes,7,0,95
1,77,Yes,7,4,51
8,59,No,6,6,54
4,60,No,4,0,38
2,58,No,8,1,33
5,95,Yes,5,1,80
2,53,Yes,5,9,30
4,50,Yes,4,9,35
8,40,No,4,3,31
7,56,Yes,7,8,45
1,42,Yes,8,1,17
7,74,No,9,9,68
7,73,Yes,9,5,66
3,81,No,8,3,59
5,84,Yes,6,8,67
2,65,No,4,0,39
9,70,Yes,4,6,64
7,97,Yes,9,4,89
3,80,Yes,8,0,62
3,94,No,6,4,74
2,69,No,8,3,49
2,53,Yes,9,7,32
2,82,No,5,3,61
4,98,Yes,9,7,81
4,87,Yes,7,0,68
5,47,No,5,2,32
3,70,Yes,9,6,52
8,82,No,9,5,78
1,95,No,8,8,69
1,92,No,9,6,68
7,79,No,5,1,67
7,51,No,8,5,44
7,48,No,7,0,40
7,79,Yes,9,9,74
1,42,No,4,2,18
4,79,Yes,8,7,63
3,86,Yes,7,8,71
4,91,Yes,4,7,72
7,77,No,5,6,67
2,82,Yes,7,7,61
7,54,Yes,7,7,45
4,48,No,6,3,29
6,41,Yes,7,8,31
2,54,No,8,8,26
2,83,No,7,4,59
4,93,Yes,5,3,79
4,48,Yes,9,6,33
2,58,Yes,9,8,35
3,68,Yes,7,4,46
9,54,Yes,8,6,51
6,51,No,5,2,38
6,63,Yes,4,9,49
5,84,Yes,8,3,73
5,54,Yes,6,8,38
4,90,Yes,8,5,71
6,62,Yes,5,4,51
5,43,No,8,0,27
7,95,Yes,6,5,85
2,41,No,9,5,19
3,65,No,5,8,42
5,79,No,5,1,65
1,47,Yes,9,8,23
3,84,No,9,7,70
9,84,No,6,6,82
3,73,Yes,8,7,59
6,44,No,7,6,30
7,97,No,7,7,88
3,62,No,7,3,40
5,98,No,8,1,82
1,43,Yes,8,9,17
4,45,No,5,4,25
5,72,Yes,7,4,57
4,96,No,9,6,78
7,74,No,8,1,65
6,48,Yes,5,0,38
3,72,No,4,3,53
8,73,No,9,7,66
9,69,Yes,4,9,65
2,95,Yes,6,5,75
4,75,Yes,8,3,57
6,54,Yes,9,6,47
4,52,No,5,3,35
7,96,No,9,1,89
1,40,Yes,4,2,13
1,86,No,7,4,60
1,88,No,9,1,68
9,55,Yes,8,5,56
3,81,No,6,3,62
2,74,Yes,6,2,50
6,46,No,4,0,33
9,69,Yes,4,4,64
3,92,No,9,8,75
5,53,No,9,8,38
5,88,No,6,6,74
5,88,No,8,8,74
3,75,No,7,2,56
7,52,No,8,1,43
4,72,No,5,9,52
9,99,Yes,5,6,97
8,45,Yes,6,7,37
3,75,Yes,6,1,57
2,87,Yes,6,5,61
1,72,No,6,1,45
3,98,No,6,4,79
6,46,Yes,4,8,32
7,87,No,4,6,79
9,44,No,7,9,40
2,65,No,7,8,42
1,54,No,8,0,31
4,61,No,5,0,42
2,59,No,4,4,37
8,87,No,7,6,82
9,52,No,4,0,47
1,57,No,6,3,35
7,94,No,9,6,87
2,78,Yes,6,3,59
8,45,Yes,4,4,39
8,54,No,4,6,46
7,54,Yes,6,1,41
8,93,Yes,9,9,88
5,44,Yes,4,6,25
8,84,No,7,3,77
6,77,Yes,6,6,67
8,89,No,8,1,87
3,70,Yes,8,3,50
9,47,Yes,4,0,45
8,62,No,5,7,57
3,56,Yes,5,9,34
3,79,Yes,4,9,64
5,84,No,8,5,69
2,45,Yes,4,4,21
9,52,Yes,4,1,44
6,42,Yes,6,8,30
4,68,No,8,3,51
5,99,Yes,6,4,87
5,70,Yes,5,3,53
1,87,No,5,0,61
8,52,Yes,9,2,45
9,96,No,5,9,91
5,65,No,7,2,47
2,80,No,6,8,55
4,96,No,4,5,77
1,47,No,4,5,17
5,65,Yes,6,6,54
3,87,No,6,6,66
7,87,No,8,6,79
9,69,No,5,7,66
2,76,No,6,6,52
6,63,Yes,9,3,53
8,75,Yes,7,4,71
6,70,No,8,3,63
8,65,Yes,7,1,55
9,99,Yes,8,1,99
1,72,No,8,6,49
7,93,Yes,7,2,86
5,92,No,9,1,78
7,74,Yes,6,6,65
5,71,No,8,0,57
2,51,No,5,0,27
3,66,Yes,7,9,44
3,71,No,7,1,49
6,41,Yes,5,8,28
8,70,Yes,8,1,64
2,64,No,7,1,39
2,95,No,9,7,76
1,89,No,8,8,66
7,93,Yes,9,8,87
1,54,No,7,3,26
8,76,Yes,5,4,72
4,65,No,4,1,46
7,65,Yes,5,1,58
6,66,Yes,4,2,56
5,87,No,6,9,76
2,77,Yes,6,7,56
6,54,Yes,5,6,43
8,88,Yes,7,5,86
2,66,No,7,4,43
6,64,Yes,6,9,54
8,80,Yes,5,9,74
4,61,Yes,4,4,43
4,77,Yes,8,6,60
4,62,No,7,4,44
6,54,No,8,1,42
3,54,Yes,6,0,28
4,94,Yes,4,3,75
1,79,Yes,7,3,54
4,51,Yes,9,5,33
5,82,No,8,3,67
9,47,No,5,7,47
5,93,No,4,2,77
7,78,No,6,5,67
5,42,Yes,7,3,32
5,57,Yes,5,3,42
7,77,No,8,3,70
8,57,No,5,3,52
3,62,Yes,6,6,44
3,65,Yes,8,0,45
1,75,Yes,4,1,46
6,64,Yes,7,4,49
3,66,No,7,3,44
3,93,No,8,4,76
5,59,No,4,1,41
4,69,No,7,2,50
6,86,No,7,7,75
7,52,No,4,4,42
8,64,No,9,0,58
4,95,Yes,6,2,77
6,61,No,5,2,50
5,52,No,8,1,31
5,66,Yes,4,3,49
3,91,Yes,8,8,73
4,79,No,5,4,61
9,50,No,6,3,44
6,83,Yes,7,2,70
2,78,Yes,8,8,58
6,75,Yes,4,1,63
5,94,Yes,8,9,78
1,40,No,8,5,16
6,77,No,7,0,66
1,55,No,7,3,26
8,89,Yes,4,1,83
7,49,Yes,6,4,37
1,71,No,7,9,46
4,54,No,7,5,34
9,91,Yes,5,2,88
3,52,Yes,5,4,33
1,45,No,7,2,15
9,55,Yes,6,1,53
2,70,No,7,3,45
4,79,No,9,3,66
2,40,Yes,7,2,16
3,83,No,7,5,65
5,60,No,8,4,47
5,49,No,7,5,36
2,48,Yes,7,6,25
2,81,No,7,2,59
2,46,No,6,1,22
8,47,No,9,0,40
3,56,No,4,4,33
3,51,Yes,4,1,30
9,93,Yes,5,2,89
4,61,Yes,6,5,46
4,96,Yes,8,0,83
9,71,No,4,6,63
5,49,No,6,5,33
4,61,Yes,8,9,46
6,82,No,5,8,69
2,97,No,5,8,76
2,47,Yes,9,3,25
1,84,Yes,8,4,63
4,65,Yes,8,7,48
8,40,No,4,0,26
9,69,No,9,9,64
9,40,No,6,5,38
5,52,Yes,6,5,36
6,44,Yes,8,0,36
4,48,No,7,0,27
3,40,No,8,8,18
5,81,Yes,5,9,66
2,61,Yes,6,6,37
9,50,Yes,6,2,46
6,92,Yes,6,1,80
4,64,No,7,0,45
4,68,Yes,5,3,53
1,84,No,5,6,61
1,99,No,7,3,74
6,69,Yes,6,5,60
2,57,No,6,3,30
4,48,No,4,4,31
9,65,No,7,4,60
5,61,No,6,7,48
5,82,No,9,5,66
7,95,Yes,6,3,89
8,69,No,9,6,61
9,82,No,8,4,80
6,61,Yes,5,1,47
1,47,Yes,9,3,21
6,43,No,7,1,30
6,59,Yes,4,8,45
3,82,No,9,2,62
1,87,Yes,9,4,64
6,53,No,5,6,40
2,84,No,6,8,61
3,87,Yes,4,4,65
2,50,Yes,8,7,23
6,46,No,4,2,35
8,47,Yes,5,9,43
6,50,No,5,3,36
2,59,Yes,6,5,40
2,60,No,7,9,35
4,40,Yes,6,5,21
4,72,Yes,5,3,56
1,45,Yes,7,1,20
3,78,No,5,6,57
8,76,Yes,8,9,69
1,57,Yes,8,0,27
3,41,Yes,4,1,15
1,93,No,7,3,69
9,54,No,9,8,51
8,85,No,5,1,80
7,61,Yes,6,8,54
2,50,Yes,9,5,26
2,68,No,5,9,45
9,60,No,9,1,61
8,67,No,4,1,61
